Age,CTDIvol_wo_contrast,DLP_wo_contrast,CTDIvol_w_contrast,DLP_w_contrast
0-1 year,23,344,-,-
1-2 years,27,440,-,-
2-6 years,31,518,-,-
6-18 years,55,910,-,-
