Age,CTDIvol_wo_contrast,DLP_wo_contrast,CTDIvol_w_contrast,DLP_w_contrast
0-1 year,-,-,2.4,60
1-5 years,2.6,95,2.9,100
5-10 years,4.8,171,4.6,170
10-15 years,8.1,367,7.9,358
15-18 years,11,510,11,511
